Data	Temperatura
1953	36.93888888888889
1954	35.05944444444444
1955	35.25666666666667
1956	29.66611111111111
1957	37.70944444444444
1958	34.31944444444444
1959	34.74722222222223
1960	37.538333333333334
1961	33.68611111111111
1962	37.74166666666667
1963	33.01500000000001
1964	33.955000000000005
1965	33.09833333333333
1966	37.068333333333335
1967	32.629444444444445
1968	37.495
1969	30.000555555555554
1970	39.528888888888886
1971	33.218888888888884
1972	31.232777777777773
1973	40.49444444444444
1974	32.67388888888889
1975	36.01722222222222
1976	31.356666666666666
1977	35.88611111111111
1978	42.165
1979	33.22888888888889
1980	38.26222222222222
1981	39.05444444444444
1982	36.364444444444445
1983	41.22611111111111
1984	37.29
1985	34.342777777777776
1986	37.644444444444446
1987	41.99722222222223
1988	36.20222222222222
1989	37.35722222222222
1990	35.07166666666667
1991	36.90611111111111
1992	36.94888888888889
1993	37.812777777777775
1994	32.67444444444444
1995	37.590555555555554
1996	28.735
1997	34.23888888888889
1998	33.81444444444444
1999	28.528333333333332
2000	27.503333333333334
2001	37.78111111111111
2002	37.516666666666666
2003	40.315
2004	29.878333333333337
2005	33.70722222222222
2006	27.818333333333328
2007	37.199999999999996
2008	30.978333333333328
2009	32.57055555555556
2010	34.64722222222222
2011	25.413333333333334
2012	34.32833333333333
2013	35.65166666666667
2014	33.46388888888889
